,account,caption,profile_name,biography,id,following,likes,posts_count,followers,is_verified,datetime,image_url,url,comments,video_view_count,video_url,timestamp,adultScore,racyScore,goreScore,isBWImg,clipArtType,lineDrawingType,tokens
2,drjallali_plastic_surgeon,"Great pleasure to be an invited speaker at the Manchester breast meeting yesterday. Great faculty and team at the Christie Hospital.
#navidjallali #breastreduction #breastenlargement #breastcancer #breastsurgery",London Plastic Surgeon,"Cosmetic & Reconstructive Surgeon | London
â—¦ Tel: 0800 1930838
â—¦ 20 years of experience 
â—¦ Chairman of MAC Welbeck Hospital 
â—¦ Enquire below â¤µï¸�",2.04E+18,234,57,82,1463,0,1557906172,j_kvihwg0g1c283e3byk.bc6c27e7605bca43311839ee8a2ba50e1f1d7980.file_kvii1mw12ogd1undvn.image_url.jpg,https://www.instagram.com/p/BxeaclGggXi/,0,0,j_kvihwg0g1c283e3byk.bc6c27e7605bca43311839ee8a2ba50e1f1d7980.file_kvii1tmm1rg8a0gmy7.video_url.mp4,2021-11-02T19:44:47.372Z,0.001730221,0.002690398,0.000557851,0,0,0,"['Grey', 'Black', 'man', 'clothing', 'indoor', 'presentation', 'text', 'public', 'speaking', 'projection', 'screen', 'display', 'device', 'speech', 'media', 'orator', 'wall', 'lecture', 'lectern', 'seminar', 'podium', 'spokesperson', 'company', 'academic', 'conference', 'person', 'suit', 'human', 'face', 'job', 'screen', 'standing', 'text', 'person', 'man', 'standing', 'indoor', 'ceiling', 'a', 'man', 'standing', 'at', 'a', 'podium', 'in', 'front', 'of', 'a', 'large', 'screen', 'person']"
0,derma_medical,"â˜�ï¸�BEAUTIFICATION
.
Before and after non-surgical beautification creating a more sculpted, sharpened and balanced facial profile.
Immediate results, no surgery, no surgery.
.
â˜�ï¸� WANT TO ACHIEVE RESULTS LIKE THIS? LEARN HOW.... ðŸ‘‰
.
ðŸ‘‰TRAINING: UK: www.dermamedical.co.uk 
SWEDEN: www.dermamedical.se 
DUBAI: www.dermamedical.ae 
AUSTRALIA: www.dermamedical.net.au 
ðŸ‘‰TREATMENTS: clinics@dermamedical.co.uk 
. 
#doctor #dentist #nurse #midwife #pharmacist #surgeon #botoxtraining #fillertraining #derma_medical #gp #cosmeticdoctor #lÃ¤kare #tandlÃ¤kare #stockholm #sjukskÃ¶terska #fillers #sverige #skÃ¶nhet #lÃ¤ppfÃ¶rstoring #lÃ¤ppar #swedendoctors #dubai #mydubai #brisbanebeauty #stylage #juvederm",Derma Medical,"â˜†International Cosmetic Training Academyâ˜†
UKâ–ªï¸�Australiaâ–ªï¸�Swedenâ–ªï¸�Dubai
Training: training@dermamedical.co.uk
Models: models@dermamedical.co.uk",2.67E+18,211,85,3295,82006,0,1632718837,j_kvihwg0g1c283e3byk.084d6608741e9d8b102b2102e5790d549623264c.file_kvii1r8b1gfdlpv5wu.image_url.jpg,https://www.instagram.com/p/CUUARaDq241/,0,0,,2021-11-02T19:44:00.716Z,0.004666198,0.006831969,0.002050047,0,0,0,"['Brown', 'human', 'face', 'person', 'necklace', 'fashion', 'accessory', 'woman', 'earrings', 'neck', 'throat', 'eyelash', 'lip', 'eyebrow', 'skin', 'lady', 'lipstick', 'makeover', 'jewellery', 'lip', 'gloss', 'clothing', 'person', 'outdoor', 'person', 'person']"
0,lycahealth,"Can't sleep at night, but in the morning you can't seem to wake up?ðŸ’¤ You're not alone, as many as 1 in 3 of us suffers from poor sleep! Improve your sleep using the 5 tips weâ€™ve shared in our blogâ€¦â €
https://lycahealth.com/news/advice/5-tips-to-help-if-youre-struggling-to-sleep/â €
â €
#sleep #insomnia #sleepwell #healthcare #doctor #londondoctor #londonprivatehealthcare #privatedoctorlondon #privatehealth #privatehealthcareuk #medicalhelp #ukhealthcare #lockdown #nationallockdown #lycahealth #privatehealthcare",Lycahealth,"Private Outpatient & Diagnostic Centre in Canary Wharf, London and Orpington, Kent
ðŸ‘‡ðŸ�»Covid -19 Information & Services",2.51E+18,331,4,142,333,0,1613988124,j_kvihwg0g1c283e3byk.aa1e3b25b8566b5222f27bf64ac03b641ed11203.file_kvii1rsy1qu96zlun6.image_url.jpg,https://www.instagram.com/p/CLlyRwiAya-/,0,0,,2021-11-02T19:44:03.594Z,0.007967456,0.011868563,0.001129841,0,0,0,"['White', 'Blue', 'Green', 'text', 'screenshot', 'font', 'logo', 'brand', 'graphics', 'design', 'graphical', 'user', 'interface', 'text', 'application', 'chat', 'or', 'text', 'message', 'graphical', 'user', 'interface,', 'text,', 'application,', 'chat', 'or', 'text', 'message', 'text', 'text']"
1,lycahealth,"LycaHealth is now accepting self-referrals for our private scans and services! Self refer for an MRI, CT, Ultrasound or X-Ray today. â €
â €
âœ”ï¸�Same & Next Day Appointment Timesâ €
âœ”ï¸�Covid Secure Environmentâ €
âœ”ï¸�Fast Resultsâ €
â €
Book in today: https://lycahealth.com/referrals/â €
â €
ðŸ“©enquiries@lycahealth.comâ €
ðŸ“²http://lycahealth.comâ €
ðŸ“žCanary Wharf Clinic: 0207 132 1440â €
ðŸ“žOrpington Clinic: 01689 490 111â €
â €
#privatescans #MRIscan #CTscan #Londonscans #doctor #londondoctor #londonprivatehealthcare #privatedoctorlondon #privatehealth #privatehealthcareuk #medicalhelp #ukhealthcare #lockdown #nationallockdown #lycahealth #privatehealthcare",Lycahealth,"Private Outpatient & Diagnostic Centre in Canary Wharf, London and Orpington, Kent
ðŸ‘‡ðŸ�»Covid -19 Information & Services",2.51E+18,331,4,142,333,0,1613469724,j_kvihwg0g1c283e3byk.aa1e3b25b8566b5222f27bf64ac03b641ed11203.file_kvii1ssv1u1dbwnsb4.image_url.jpg,https://www.instagram.com/p/CLWVgjvAey2/,0,0,,2021-11-02T19:44:03.594Z,0.009943511,0.012643603,0.000965294,0,1,0,"['Blue', 'Green', 'text', 'screenshot', 'wall', 'indoor', 'bathroom', 'toilet', 'graphical', 'user', 'interface', 'diagram', 'graphical', 'user', 'interface,', 'diagram']"
0,nucosmeticclinic,"Tummy Tuck or #Abdominoplasty Surgery is about flattening the excessive stomach with tightening the abdominal skin. The main focus of this surgery is to remove fat and skin, and also to tighten the abdominal wall muscles. It is ideal for those who are unable to correct the problem of a protruding stomach.â�£â�£
â�£â�£
Visit the link in bio to learn more about the procedure.â�£
â�£â�£
ðŸ“ž 0800 007 5860 to Schedule your free #tummytuck consultation with a board certified surgeon.
.â�£â�£
.â�£â�£
#NuCosmeticClinicUk #TummyTuckSurgery #TummyTuckJourney #TummyTuckProgress #PlasticSurgeon #CosmeticSurgeons #TummyTuckRecovery #CosmeticSurgery #Manchester #MommyMakeOver #PlasticSurgeryClinicâ�£â�£
â�£â�£",Nucosmeticclinic,,2.21E+18,1394,1,293,1458,0,1578128499,j_kvihwg0g1c283e3byk.6802829cd62c07a336b2f9ae83e4f7b9d3b60168.file_kviivucp1w05s5zejz.image_url.jpg,https://www.instagram.com/p/B65FeTsHCqh/,0,0,,2021-11-02T20:07:24.982Z,0.004627266,0.99697268,0.000802183,0,0,0,"['White', 'Brown', 'clothing', 'underpants', 'undergarment', 'briefs', 'person', 'stomach', 'swimsuit', 'bottom', 'panties', 'navel', 'chest', 'lingerie', 'swim', 'brief', 'model', 'swimwear', 'abdomen', 'brassiere', 'lingerie', 'top', 'woman', 'clothing', 'person', 'underpants', 'person']"
1,nucosmeticclinic,"Good morning ðŸŒž
Have a lovely day everyone!
.
.
#NuCosmeticClinicUk #MondayThoughts #MondayMorning #NewWeek #Quotes #Monday #GoodMorning #MondayMood #PositiveVibes #MotivationalMonday",Nucosmeticclinic,,2.17E+18,1394,4,293,1458,0,1572852765,j_kvihwg0g1c283e3byk.6802829cd62c07a336b2f9ae83e4f7b9d3b60168.file_kviivue794559939w.image_url.jpg,https://www.instagram.com/p/B4b2zzsHx19/,0,0,,2021-11-02T20:07:24.982Z,0.003229197,0.004631174,0.000699016,0,1,0,"['Brown', 'Black', 'Yellow', 'text', 'sky', 'cloud', 'poster', 'silhouette', 'screenshot', 'person', 'outdoor', 'graphical', 'user', 'interface', 'graphical', 'user', 'interface', 'person', 'Poster']"
2,nucosmeticclinic,"Good morning ðŸŒž Happy Monday!!!
.
.
#NuCosmeticClinicUk #MondayThoughts #MondayMorning #NewWeek #Quotes #Monday #GoodMorning #MondayMood #PositiveVibes #MotivationalMonday",Nucosmeticclinic,,2.17E+18,1394,6,293,1458,0,1573461774,j_kvihwg0g1c283e3byk.6802829cd62c07a336b2f9ae83e4f7b9d3b60168.file_kviivufq2dd9ky74ym.image_url.jpg,https://www.instagram.com/p/B4uAZuKH6lU/,0,0,,2021-11-02T20:07:24.982Z,0.00242941,0.003533313,0.000933506,0,1,0,"['Black', 'text', 'screenshot', 'astronomy', 'sky', 'star', 'graphical', 'user', 'interface', 'text', 'graphical', 'user', 'interface,', 'text', 'Poster']"
3,nucosmeticclinic,"#VaserLiposuction - the latest body contouring procedure that melt the fat and tighten the skin to deliver a smooth natural result.â�£
â�£
Learn more about procedure ðŸ‘‰ http://bit.ly/2t7JRxw â�£
â�£
ðŸ“ž 0800 007 5860 to schedule a FREE consultation with a board certified surgeon.â�£
.â�£
.â�£
#NuCosmeticClinicUk #CosmeticSurgery #VaserLipo #Vaser #Lipo #PlasticSurgeon #Aesthetic #AestheticSurgery #LiposuctionLondon #BodyShape #BodyShaping #VaserLipoLondon #BodyReshaping #London #CosmeticSurgeon #PlasticSurgeryClinicâ�£",Nucosmeticclinic,,2.21E+18,1394,3,293,1458,0,1577782193,j_kvihwg0g1c283e3byk.6802829cd62c07a336b2f9ae83e4f7b9d3b60168.file_kviivuiinouivaldw.image_url.jpg,https://www.instagram.com/p/B6uw8qznNY6/,1,0,,2021-11-02T20:07:24.982Z,0.00266483,0.99697262,0.000545213,0,0,0,"['White', 'Brown', 'Black', 'clothing', 'undergarment', 'underpants', 'stomach', 'model', 'brassiere', 'swimsuit', 'bottom', 'lingerie', 'swimwear', 'abdomen', 'panties', 'lingerie', 'top', 'thigh', 'navel', 'hip', 'bikini', 'briefs', 'person', 'swimsuit', 'top', 'photo', 'shoot', 'woman', 'girl', 'clothing', 'woman', 'person', 'female', 'lady', 'person', 'Brassiere']"
4,nigel_carver_plastic_surgeon,"Breast Augmentation using Polytech anatomical shaped implant.
These are images of before and Six weeks after surgery.
Mr Carver has used a 330cc implant.
Natural and a lovely shaped implant.
Breast enhancement can give you the confidence you desire.
Look great in a bikini and wear dresses and clothes you wish,without having to use a padded push up bra.
If Breast Enhancement is a procedure for you please book a consultation and get fitted with Kay for a size that suits your body frame.

#breastaugmentation#breastenhancement#boobjob#shapedimplant#polytech#transformation#confidence#beachbody#bikinibody#goodsurgeon#lookgreat#looknautral#consultation#essexsurgeon",,"Mr Nigel Carver  
Consultant Plastic, Reconstructive and Cosmetic Surgeon  BSc MBBS MS FRCS FRCS (Plast)
London, Essex and Hertfordshire",2.37E+18,0,25,165,1238,0,1596261946,j_kvihwg0g1c283e3byk.ffa2ac39816f6dbe868a5b872cccf74e3b3becc6.file_kvii1muq28u6couhes.image_url.jpg,https://www.instagram.com/p/CDVgR4sHyNm/,1,0,,2021-11-02T19:43:56.910Z,0.327730626,0.984946012,0.001807187,0,0,0,"['White', 'Brown', 'skin', 'person', 'baby', 'indoor', 'person', 'wall', 'doll', 'bath']"
0,dr.zackally,"â˜�ï¸�PROFILE HARMONISATION 9ml (see post before)
â–ªâ–ªâ–ªâ–ªâ–ªâ–ªâ–ªâ–ªâ–ªâ–ªâ–ªâ–ªâ–ªâ–ªâ–ªâ–ªâ–ª
Before and after nonsurgical harmonisation creating a more sculpted, sharpened and balanced facial profile. 
Immediate results, no surgery, no Surgery.
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
ðŸ‘‰WANT TO ACHIEVE RESULTS LIKE THIS, Learn how:
ðŸ‡¬ðŸ‡§UK: www.dermamedical.co.uk
ðŸ‡¸ðŸ‡ªSWEDEN: www.dermamedical.se
ðŸ‡¦ðŸ‡ªDUBAI: www.dermamedical.ae
ðŸ‡¦ðŸ‡ºAUSTRALIA: www.dermamedical.net.au
ðŸ‘‰TREATMENTS: clinics@dermamedical.co.uk
~~~~~~~~~~~~~~~~~~~~~~~~
#jawline #doctor #dentist #nurse #midwife #pharmacist #surgeon #botoxtraining #fillertraining #derma_medical #gp #cosmeticdoctor #lÃ¤kare #tandlÃ¤kare #stockholm #sjukskÃ¶terska #fillers #sverige #skÃ¶nhet #lÃ¤ppfÃ¶rstoring #lÃ¤ppar #swedendoctors #dubai #mydubai #brisbanebeauty #melbournebeauty #perthlife  @derma_medical",á´€Ê€á´›Éªsá´›Éªá´„ Ò“á´€á´„Éªá´€ÊŸ sá´„á´œÊŸá´˜á´›á´�Ê€,"ðŸŒŸá´‹á´�ÊŸ|á´„á´‡á´�|L7-á´€á´„á´„Ê€á´‡á´…Éªá´›á´‡á´… á´›Ê€á´€ÉªÉ´á´‡Ê€ðŸŒŸ
âœˆÉªÉ´á´›á´‡Ê€É´á´€á´›Éªá´�É´á´€ÊŸ á´„á´�sá´�á´‡á´›Éªá´„ ÉªÉ´á´Šá´‡á´„á´›á´�Ê€
â˜žá´›Ê€á´€ÉªÉ´ÉªÉ´É¢@á´…á´‡Ê€á´�á´€á´�á´‡á´…Éªá´„á´€ÊŸ.á´„á´�.á´œá´‹ 
â˜žá´�á´�á´…á´‡ÊŸs@á´…á´‡Ê€á´�á´€á´�á´‡á´…Éªá´„á´€ÊŸ.á´„á´�.á´œá´‹ 
â˜žá´„ÊŸÉªÉ´Éªá´„s@á´…á´‡Ê€á´�á´€á´�á´‡á´…Éªá´„á´€ÊŸ.á´„á´�.á´œá´‹",2.58E+18,3814,864,2096,172249,0,1621517456,j_kvihwg0g1c283e3byk.742c4763af8d687abea3e4aae65d55d7692fcd86.file_kvii1q394yfbi5nt6.image_url.jpg,https://www.instagram.com/p/CPGLVTrD97f/,43,31009,j_kvihwg0g1c283e3byk.742c4763af8d687abea3e4aae65d55d7692fcd86.file_kvii1qli1nmu6k3o6p.video_url.mp4,2021-11-02T19:44:04.007Z,0.001963143,0.003069588,0.000699244,0,0,0,"['fashion', 'accessory', 'human', 'face', 'earrings', 'person', 'hairstyle', 'neck', 'jewellery', 'makeover', 'eyelash', 'necklace', 'lipstick', 'body', 'piercing', 'lip', 'throat', 'skin', 'chin', 'woman', 'fashion', 'person', 'woman', 'eyepatch', 'person', 'person']"
1,everyoungrejuvenation,"{ LOVELY LIPS & PATIENT PICS } before/after subtle lip filler, to achieve symmetry and an upper lip flip ðŸ’‰ðŸ‘„ðŸ‘�ðŸ�¼",Dr Richard Young,"â�£
Cosmetic Physicianâ�£. Specialising in anti-ageing injectables, skin/mole checks & overall skin health. â�£
â�£
Vogue Medical, 670 Chapel St, South Yarra.",2.01E+18,198,44,126,3421,0,1554261145,j_kvihwg0g1c283e3byk.1c07c376392f29a891a247a1174c4b9d988c9051.file_kvii1lyz1sfd0esjq.image_url.jpg,https://www.instagram.com/p/BvxyHDRga1Q/,2,0,,2021-11-02T19:43:57.201Z,0.016599601,0.025250966,0.248772234,0,0,0,"['Pink', 'closeup', 'skin', 'tooth', 'lip', 'organ', 'eyelash', 'person', 'lipstick', 'human', 'face', 'person', 'close', 'cosmetic', 'Cosmetics', 'person']"
0,drdominicbray,"I loved seeing this gorgeous 57 year old lady in clinic recently for review 3 months after her #deepplanefacelift deep neck reduction #platysmaplasty and lateral #browlift and #buccalfatreduction ,  upper eyelid surgery and deep co2 #laserresurfacing to her lower eyelids. Look at the stunning feminine contouring and #ogeecurve the lower face volume has slimmed and been lifted to the #midface creating classic elegance. â˜ºï¸�.
.
All my patients tend to be very aesthetically aware, they have often done years of comprehensive research âœ�ï¸�ðŸ‘©ðŸ�»â€�ðŸ’», know what they are looking for and have waited months for a consultation and then #facelift surgery. Our first meeting is really to check aesthetic goals align and so I can indicate what might be possible using similar historical facial demographic #beforeandafterphotos . I like my patients to be aware and informed - itâ€™s a journey we take together. ðŸ¤— My goal is always an imperceptible result that is simply more beautiful, a tighter #jawline or #neckline or reduced #jowls is secondary and not good enough as a primary endpoint- we need to be more sophisticated and look globally at facial proportion, contouring and #feminine features - we are #enhancingbeauty , lovingly restoring it and never changing it. I simply wonâ€™t do the latter despite hundreds of requests to do so a month! ðŸ¤¦ðŸ�»â€�â™‚ï¸� Less is definitely more but sometimes we have to do more to achieve less. Neck flexed profile views posted next ...Enjoy the â˜€ï¸� everybody!!.
.
ðŸ“± Phone: +44 (0) 203 417 9980
ðŸ“§ Email: info@dominicbray.com
ðŸ–¥ Website: www.dominicbray.com
ðŸ“¸ Instagram: @drdominicbray
ðŸŒ� Location: #Harleystreet , London, UK
ðŸ�¥ Surgicentre: Azara, #TunbridgeWells
ðŸ¤• Initial recovery: Stay in UK 8-10 days
ðŸ’ƒðŸ�¼ Social and professional visibility: 2 weeks
ðŸ’· Cost: Deep plane rejuvenation fr. 22k
ðŸ›« Virtual consult for International patients.
.
.
#neckrejuvenation #plasticsurgery #facelifting
##londonplasticsurgeon #plasticsurgeon #faceliftspecialist #bestneckliftsurgeon #londonfaceliftsurgeon #faceliftsurgeonlondon #facialplasticsurgeon #faceliftexpert #dominicbray #drdominicbray",Dominic Brayâ€¢Facelift Surgeon,"UK intercollegiate board certified.
#FacialPlasticSurgeon 
#Facelift and #necklift expert
#Revisionfacelift specialist
Husband of 1 and Daddy of 3",2.59E+18,4,754,310,77234,0,1623264067,j_kvihwg0g1c283e3byk.834b38f3eafbf7eab5ab325f9dcc63357c2dfd0f.file_kvihxg2f1lmjql43cs.image_url.jpg,https://www.instagram.com/p/CP6OvM9qzGq/,61,0,,2021-11-02T19:40:40.325Z,0.002356793,0.003344728,0.0008001,0,0,0,"['Black', 'Brown', 'human', 'face', 'person', 'smile', 'clothing', 'chin', 'screenshot', 'lip', 'skin', 'layered', 'hair', 'woman', 'forehead', 'eyebrow', 'feathered', 'hair', 'blond', 'text', 'person', 'woman', 'posing', 'couple', 'person', 'person']"
1,dr_matt_james_plastic_surgeon,My first swim at Brockwell lido post COVID-itâ€™s good to be in the water again.,Dr Matt James Plastic Surgeon,"Dr Matt James FRCS(plastics)
 UK specialist registered Plastic Surgeon. With 25 years expertise in cosmetic surgery and reconstructive hand surgery.",2.38E+18,327,21,20,405,0,1598256744,j_kvihwg0g1c283e3byk.e7db75ef2e08129010ad9cfebf344fe336caab1e.file_kvihxb7lbr7o0eepx.image_url.jpg,https://www.instagram.com/p/CEQ9DiuJy0p/,3,0,,2021-11-02T19:40:33.633Z,0.012360911,0.020987045,0.001229124,0,0,0,"['White', 'Blue', 'swimming', 'pool', 'sky', 'outdoor', 'sport', 'leisure', 'centre', 'tree', 'water', 'spa', 'town', 'swimming', 'pool', 'people', 'person', 'sky', 'outdoor', 'swimming', 'water', 'sport', 'sport', 'person', 'swimming', 'pool']"
2,botaniqua_clinic,"Hi everyone, on this picture I am doing Ultrasound Alma Laser treatment for fat deposit on #legs .This is One of #best  treatment for #fat #deposit and #skin #rejuvenation on the market ðŸ¦µðŸ‘§ For skin rejuvenation we are offering Accentuate/RF 45 min treatment for particularly area , results you can see immediately after treatmentâ�¤ï¸�ðŸ˜˜ðŸ¥°Belly, legs front and back or love handles ! ðŸ¦µðŸ™�Try our #natural #treatments ðŸ‘�. Come to #Botaniqua today ðŸ˜˜! Call us now 0203 887 0700 ! #Love #your #body â�¤ï¸�ðŸ‘™ðŸ‘�#bestbody #carboxterapia #lipo #belly #mum #healthylifestyle #f4follow #londonðŸ‡¬ðŸ‡§ #results #botaniqua  #fatdeposition #fatdeposit #knee",Botaniqua,"â­�ï¸� Botaniqua Skin Care Clinic
â­�ï¸� Body Transformation, Nutri Coach 
â­�ï¸� Aesthetic Practitioner, Certified ï¿¼ï¿¼Nutritionist 
â­�ï¸� Contact us: 020 3887 0700",2.34E+18,1594,40,67,18913,0,1593106387,j_kvihwg0g1c283e3byk.01fed12207d7f7593e6e345ca599c1694354c9d5.file_kvihxc7n2s3y0b0s9.image_url.jpg,https://www.instagram.com/p/CB3dhxtJ3AF/,0,0,j_kvihwg0g1c283e3byk.01fed12207d7f7593e6e345ca599c1694354c9d5.file_kvihxcy11nnwlo7di1.video_url.mp4,2021-11-02T19:41:01.911Z,0.194399387,0.311866462,0.006302083,0,0,0,"['White', 'Grey', 'text', 'human', 'face', 'person', 'woman', 'indoor', 'girl', 'text', 'text', 'person']"
3,botaniqua_clinic,"Before and after #treatment we have to remember about #water ! 2,5 l per day â�¤ï¸� Our #lymphatic system is very important and we need to #take #care of our #body if we want to be #healthy ðŸ¦µðŸ’ªðŸ¥° #healthylifestyle #healthyeating #dietplan #nutritioncoach #cliniclondon #londonðŸ‡¬ðŸ‡§ #carboxytherapy #lymphaticdrainage #botaniqua",Botaniqua,"â­�ï¸� Botaniqua Skin Care Clinic
â­�ï¸� Body Transformation, Nutri Coach 
â­�ï¸� Aesthetic Practitioner, Certified ï¿¼ï¿¼Nutritionist 
â­�ï¸� Contact us: 020 3887 0700",2.35E+18,1594,19,67,18913,0,1594288820,j_kvihwg0g1c283e3byk.01fed12207d7f7593e6e345ca599c1694354c9d5.file_kvihxcim2j2ck8t2pv.image_url.jpg,https://www.instagram.com/p/CCas1zVp3cZ/,0,0,j_kvihwg0g1c283e3byk.01fed12207d7f7593e6e345ca599c1694354c9d5.file_kvihxcy11nnwlo7di1.video_url.mp4,2021-11-02T19:41:01.911Z,0.002665475,0.004121069,0.000499013,0,0,0,"['White', 'Grey', 'text', 'food', 'person', 'text', 'egg', 'Fruit']"
0,drdenniswolf,ðŸ˜�#BeforeAndAfterResults,Dr Dennis Wolf,"ðŸ‘¨â€�âš•ï¸�Private Page Of Dr Dennis Wolf 
ðŸ“�Harley St, London ðŸ‡¬ðŸ‡§
ðŸ”—drwolf.com/contact
ðŸ“§ info@drwolf.com
Specialisms: Tumescent Lipo ðŸŒŸVaser ðŸŒŸ Lipoedema ðŸŒŸ",2.62E+18,286,45,556,4680,0,1626166805,j_kvihwg0g1c283e3byk.658b274dd5e9e59a60ac9578c7977e2b97814282.file_kvii1mmji1uxstj79.image_url.jpg,https://www.instagram.com/p/CRQvRCMgBY1/,3,0,,2021-11-02T19:43:55.392Z,0.011697108,0.014951856,0.005900938,0,1,0,"['Pink', 'White', 'text', 'screenshot', 'font', 'text', 'text', 'text']"
1,drdenniswolf,"Not everyone who has #Lipoedema can have #Liposuction ðŸ˜¢

Financial reasons ðŸ’°underlying medical conditions ðŸš‘and a fear of medical procedures ðŸ˜¬are often the top reasons that people can't consider liposuction.

However, there's lots that goes into #LipoedemaManagement above and beyond liposuction. Take a look at some #LipoedemaManagementOptions for those who don't see liposuction as a viable option at the moment ðŸ’™",Dr Dennis Wolf,"ðŸ‘¨â€�âš•ï¸�Private Page Of Dr Dennis Wolf 
ðŸ“�Harley St, London ðŸ‡¬ðŸ‡§
ðŸ”—drwolf.com/contact
ðŸ“§ info@drwolf.com
Specialisms: Tumescent Lipo ðŸŒŸVaser ðŸŒŸ Lipoedema ðŸŒŸ",2.64E+18,286,49,556,4680,0,1628619965,j_kvihwg0g1c283e3byk.658b274dd5e9e59a60ac9578c7977e2b97814282.file_kvii1mncahyjfbtb0.image_url.jpg,https://www.instagram.com/p/CSZ2TBpF1D2/,1,0,,2021-11-02T19:43:55.392Z,0.001086573,0.001830107,0.00083231,0,0,0,"['Teal', 'text', 'screenshot', 'circle', 'font', 'design', 'diagram', 'schematic', 'diagram,', 'schematic']"
0,eudelo,"1: DONâ€™T change your skincare too often:
Most people give up on skincare too early and switch to a different product before it can actually do any good. Get a good skincare regime for you and stick to it. Avoid constantly switching to the latest fad.
â €
#skinhacks #dermatologist #dermatology  #Skincare #SkinHealth #SkinQuality #aestheticmedicine  #bestYou #selfcare  #beautyguru",Eudelo,"Award-winning skin clinic, led by top Dermatologist @drstefaniew.
The best place to learn all about your skin and how to look after it.
ðŸ“� London",2.66E+18,2045,17,495,6667,0,1631266221,j_kvihwg0g1c283e3byk.04eaa8aa0ceb0aafc2f6d827e4d1ee6deb2ad4c5.file_kvii1nrwfzqyorr9e.image_url.jpg,https://www.instagram.com/p/CTotoSkoTFc/,3,0,,2021-11-02T19:43:57.217Z,0.001709385,0.002677209,0.000744143,1,0,1,"['White', 'text', 'font', 'design', 'text', 'letter', 'text,', 'letter']"
0,aspenaestheticclinics,"Sanfte Aquashape Wasserstrahl-Fettentfernung in Kombination mit Laserlipo zur zusÃ¤tzlichen Hautstraffung ist in unseren Kliniken Goldener Standard.
Durch die sanfte Fettentfernung wird die Haut nicht verletzt und es muss kein Mieder mehrwÃ¶chig getragen werden, Sie bekommrn nur eine leichte Kompression fÃ¼r 7-10 Tage und gehen â€œtrockenâ€� nach Hause.
Die Behandlung findet nur in LokalanÃ¤sthesie statt und Sie kÃ¶nnen gleich nach der Behandlung Ihrem normalen Alltag wieder nachgehen.
Kostenlose Info und Beratung, schreiben Sie uns an office@aspenaestheticclinics.com.
http://aspenaestheticclinics.de/aspencombilipo.php
#Fettabsaugung #Liposuktion #Aquashape #LipÃ¶dem #bodyjet #combilipo #aspencombilipo #Laserlipolyse #Smartlipo",Aspen Aesthetic Clinics,Unsere Kliniken sind auf schonende moderne Fettabsaugungen und EigenfettÃ¼bertragung spezialisiert. Und vieles mehr...,2.09E+18,280,2,128,127,0,1563566593,j_kvihwg0g1c283e3byk.9e28356e8a11e81523797a36188cf903b94377ed.file_kvii1ndf9sa10j3cb.image_url.jpg,https://www.instagram.com/p/B0HG15YnIPG/,0,0,j_kvihwg0g1c283e3byk.9e28356e8a11e81523797a36188cf903b94377ed.file_kvii23uhxul52gb3i.video_url.mp4,2021-11-02T19:44:27.239Z,0.007971576,0.021182954,0.000836955,0,0,0,"['White', 'sport', 'swimming', 'water', 'underwater', 'outdoor', 'ocean', 'person', 'wave', 'water', 'outdoor', 'water', 'sport', 'sport', 'swimming', 'wave', 'animal']"
1,aspenaestheticclinics,"Dauerhafte, natÃ¼rliche BrustvergrÃ¶sserung mit eigenem Fett nur in LokalanÃ¤sthesie, kein Silkon, keine Narben, keine Auszeiten
Info: office@aspenaestheticclinics.com oder +49 69 257 380 454
http://aspenaestheticclinics.de/Brustvergroesserung.php
#BrustvergrÃ¶sserung #Eigenfett #Eigenfetttransfer #EigenfettÃœbertragung #Fettabsaugung #bodyjet #Wasserstrahlfettabsaugung #Aquashape #Nanofett #Microfett #Stammzellen #eigenesFett #Liposuktion #LipÃ¶dem",Aspen Aesthetic Clinics,Unsere Kliniken sind auf schonende moderne Fettabsaugungen und EigenfettÃ¼bertragung spezialisiert. Und vieles mehr...,2.11E+18,280,3,128,127,0,1566158683,j_kvihwg0g1c283e3byk.9e28356e8a11e81523797a36188cf903b94377ed.file_kvii1ng0195b7vyiwj.image_url.jpg,https://www.instagram.com/p/B1UW3KkHME1/,0,0,j_kvihwg0g1c283e3byk.9e28356e8a11e81523797a36188cf903b94377ed.file_kvii23uhxul52gb3i.video_url.mp4,2021-11-02T19:44:27.239Z,0.005677633,0.9975124,0.000761291,0,1,0,"['White', 'undergarment', 'clothing', 'stomach', 'swimwear', 'chest', 'abdomen', 'navel', 'person', 'swimsuit', 'bottom', 'swimsuit', 'top', 'bikini', 'lingerie', 'underpants', 'briefs', 'lingerie', 'top', 'panties', 'summer', 'swim', 'brief', 'model', 'outdoor', 'brassiere', 'woman', 'girl', 'sky', 'person', 'clothing', 'outdoor', 'Brassiere', 'person']"
